	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_16500_6.txt	16500	6	1323.52273232	849.94315557	4151.74663329	356.347371876	591.612240006	287.341108882	365.700410526	929.185951205
alpha_rarefaction_16500_7.txt	16500	7	1287.52540802	724.240638207	4401.6816669	360.897337188	534.719038531	296.53908988	334.252856135	986.96762222
alpha_rarefaction_16500_8.txt	16500	8	1260.09812765	703.49895077	4092.71291852	430.989717572	577.651672025	285.153995659	404.619276765	960.859211832
alpha_rarefaction_16500_9.txt	16500	9	1292.47346843	759.716427508	4259.95408205	363.023008571	514.119796203	269.452821112	394.396452575	902.428324711
alpha_rarefaction_17500_0.txt	17500	0	1248.5542364	746.328737441	4246.4090579	356.333868241	598.220131973	265.346990106	413.097803161	959.341662881
alpha_rarefaction_17500_1.txt	17500	1	1308.85173979	768.828385054	4176.81208186	349.820972334	575.054797422	338.204202855	406.881271591	977.707747707
alpha_rarefaction_17500_2.txt	17500	2	1261.14291099	775.583893939	4232.86029808	337.041413181	520.254688538	314.069364088	372.705024513	928.076734783
alpha_rarefaction_17500_3.txt	17500	3	1297.61703384	735.490078528	4175.27838025	377.497886939	576.954230063	290.416019827	369.044637165	942.872792348
alpha_rarefaction_17500_4.txt	17500	4	1259.17675728	739.828328092	4179.9579294	376.216675038	575.517020116	270.840709824	411.077509671	969.940347298
alpha_rarefaction_17500_5.txt	17500	5	1305.11155024	778.609073344	4305.12619559	389.543533683	558.304735318	282.294171941	358.38088345	988.500378844
alpha_rarefaction_17500_6.txt	17500	6	1301.81070221	745.124537455	4068.25296107	361.436063137	611.612240006	297.685288701	383.792214862	1064.11928324
alpha_rarefaction_17500_7.txt	17500	7	1217.86768852	741.591679067	4313.61553715	354.354853606	558.85592644	269.525745268	372.357788814	966.820497101
alpha_rarefaction_17500_8.txt	17500	8	1223.54685946	756.590239233	4121.08391351	352.693910536	572.323458766	310.158991938	424.343728351	973.496684573
alpha_rarefaction_17500_9.txt	17500	9	1296.28143628	706.625280388	4182.51655503	384.53908988	594.454277571	307.299322082	410.089656418	988.309380697
alpha_rarefaction_18500_0.txt	18500	0	1262.69465711	712.12402251	4338.85102493	368.076769598	652.936761907	277.024186689	381.278253028	1016.24538623
alpha_rarefaction_18500_1.txt	18500	1	1257.69869217	758.713588245	4224.05818465	392.389387593	545.32955363	285.992591289	404.436292799	987.768893241
alpha_rarefaction_18500_2.txt	18500	2	1279.89252269	750.848465486	4190.22819018	354.36538917	561.401720305	262.257585779	375.084400532	954.668056474
alpha_rarefaction_18500_3.txt	18500	3	1283.34443762	763.142169408	4431.71465873	351.57604138	593.233990473	292.316549264	403.722497174	934.661286526
alpha_rarefaction_18500_4.txt	18500	4	1336.73013303	736.240522668	4182.03798453	342.324636377	619.804409886	303.31147979	346.526428748	1023.88320795
alpha_rarefaction_18500_5.txt	18500	5	1230.75225193	698.917385071	4157.40071528	336.653676448	589.671720106	296.53908988	365.919913229	1002.20845428
alpha_rarefaction_18500_6.txt	18500	6	1321.04745464	776.514699059	4260.70736583	441.052404132	543.113377775	302.274893165	410.361007502	1019.16189205
alpha_rarefaction_18500_7.txt	18500	7	1264.24438571	762.693988312	4158.18384843	366.897337188	565.690454092	290.107665228	351.038731297	994.0152907
alpha_rarefaction_18500_8.txt	18500	8	1268.75191204	732.609392051	4226.26652741	380.322196753	583.353331875	300.431203687	383.154387965	972.75762127
